,room_id,unit_type_name,property_design,property_type,number_of_bookings,bedroom,bathroom,beds,capacity,ac,balcony,beachfront,breakfast,building_staff,cable_tv,essentials,garden,gym,hair_dryer,hanger,heating,hot_water,kitchen,linens,lock,luggage_drop_off,parking,pool,private_entrance,shampoo,tv,washer,wifi,workspace,lat,lng,distance_to_coastline,area_distance_to_airport,property_bedrooms,average_baseline_price,area_name,total_fas,ratio_bedroom_bathroom,ratio_bedroom_cap,avg_price_distance_to_coast,avg_price_distance_to_airport,avg_price_bedroom,avg_price_beds,avg_price_bathroom,avg_price_total_fas
29,393208.0,Standard Twin,1.0,4.0,192,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-8.709399,115.586846,65.8603,60.0,4.0,1316866.7343402775,Nusa Penida,12.0,1.0,2.0,19994.848707647518,21947.77890567129,1316866.7343402775,1316866.7343402775,1316866.7343402775,109738.89452835644
30,393209.0,Superior Double,1.0,4.0,207,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-8.709399,115.586846,65.8603,60.0,4.0,337537.7606418219,Nusa Penida,14.0,1.0,2.0,5125.056530896791,5625.629344030365,337537.7606418219,337537.7606418219,337537.7606418219,24109.84004584442
31,393264.0,Standard Twin,1.0,4.0,3,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-8.709399,115.586846,65.8603,60.0,4.0,289232.952222222,Nusa Penida,12.0,1.0,2.0,4391.613038844676,4820.5492037037,289232.952222222,289232.952222222,289232.952222222,24102.7460185185
32,393265.0,Superior Twin,1.0,4.0,1,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,-8.709399,115.586846,65.8603,60.0,4.0,290058.5,Nusa Penida,13.0,1.0,2.0,4404.147870568461,4834.308333333333,290058.5,290058.5,290058.5,22312.19230769231
33,394908.0,Standard,0.0,4.0,338,1.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-8.805646,115.113378,15.6035,45.0,7.0,762403.5755068928,Bingin,11.0,0.3333333333333333,2.0,48861.06165327604,16942.30167793095,762403.5755068928,762403.5755068928,254134.52516896423,69309.41595517207
34,394913.0,Downstairs Non Hot Water,0.0,4.0,278,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.8063269,115.11306,48.2584,45.0,13.0,1274882.4974591583,Bingin,14.0,1.0,2.0,26417.836013194767,28330.722165759074,1274882.4974591583,1274882.4974591583,1274882.4974591583,91063.03553279702
35,394914.0,Upstairs Hot Water,0.0,4.0,315,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.8063269,115.11306,48.2584,45.0,13.0,1325330.5681550424,Bingin,13.0,1.0,2.0,27463.209889988942,29451.790403445382,1325330.5681550424,1325330.5681550424,1325330.5681550424,101948.50524269557
36,394915.0,Downstairs Hot Water,0.0,4.0,10,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-8.8063269,115.11306,48.2584,45.0,13.0,1611156.9466666663,Bingin,12.0,1.0,2.0,33386.04153197508,35803.48770370369,1611156.9466666663,1611156.9466666663,1611156.9466666663,134263.07888888885
37,395715.0,Room,1.0,4.0,286,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-8.688812,115.488442,596.384,60.0,4.0,713838.1671070595,Nusa Penida,11.0,1.0,2.0,1196.9438601757583,11897.302785117658,713838.1671070595,713838.1671070595,713838.1671070595,64894.3788279145
38,395971.0,Bingin Ombak Apartment - 1 Lantai 1,0.0,4.0,32,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-8.805646,115.113378,15.6035,45.0,7.0,1082806.3164583333,Bingin,13.0,1.0,2.0,69395.09189978744,24062.36258796296,1082806.3164583333,1082806.3164583333,1082806.3164583333,83292.79357371795
39,395989.0,Villa Arindra,0.0,4.0,259,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,-8.797821,115.149441,1935.58,30.0,4.0,449585.0246904928,Jimbaran,16.0,1.0,3.0,232.274059811784,14986.167489683092,449585.0246904928,449585.0246904928,449585.0246904928,28099.0640431558
40,395990.0,Entire,4.0,2.0,147,2.0,3.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,-8.837896,115.151689,1033.16,45.0,2.0,1511993.339735799,Ungasan,13.0,0.6666666666666666,2.0,1463.464845460334,33599.85199412887,755996.6698678995,755996.6698678995,503997.779911933,116307.17997967685
41,395992.0,Room,1.0,2.0,260,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-8.805481,115.11358,12.9244,45.0,1.0,993361.6022406592,Bingin,11.0,1.0,2.0,76859.3979016944,22074.70227201465,993361.6022406592,993361.6022406592,993361.6022406592,90305.60020369627
42,396232.0,Deluxe Double,0.0,4.0,2,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-8.822391,115.0871096,2259.288483838384,60.0,22.0,1146922.106666666,Uluwatu,10.0,1.0,2.0,507.6474805546391,19115.368444444437,1146922.106666666,1146922.106666666,1146922.106666666,114692.2106666666
