property_id,property_name,property_type,property_design,distance_to_coastline,area_squad,area_distance_to_airport,airport_pickup_price_idr,area_airport_name,region_id
PR0149,Riverside Cottages,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0150,Rumah Lavia,2.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0163,Tirto Raharjo,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0178,D'Java Babarsari,1.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0199,Puri Langenarjan,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0201,Rumah Eyang,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0208,Tembi Rumah Budaya,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0222,Blue Garden,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0233,Gondang Legi Villas,5.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0243,Omah Lila,2.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0248,Rumah Teteh Plemburan,1.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0256,The Khama Villas,2.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0273,D'Java Lempuyangan,1.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0295,Pendopo Andari,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0298,Roemah Boedi,1.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0299,Rumah Sarengat,4.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0301,Sawah Joglo,5.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0305,Tamu Ibu,1.0,0.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0317,Joglo Mandapa,5.0,3.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0325,Griya Cemara,4.0,3.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0329,Happy Ayu Homestay,1.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0341,Joglo Rejodani,2.0,3.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0342,GriyaKoe,4.0,4.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0343,Ndalem Tilem,1.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0348,House of Madame Lily,1.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0356,Sunrise Homestay,1.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0368,Rumah Teteh Kledokan,1.0,4.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0369,Nayottama Homestay,4.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0372,Omah Candi,1.0,1.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0377,Chez Laelik Guesthouse,4.0,3.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
PR0379,Omah Glagah,4.0,4.0,1173.9868000000001,3.0,30.0,273129.0,Adi Sucipto (JOG),2.0
