unit_id,average_baseline_price,number_of_bookings,property_id,bedroom,bathroom,beds,capacity,ac,balcony,beachfront,breakfast,building_staff,cable_tv,essentials,garden,gym,hair_dryer,hanger,heating,hot_water,kitchen,linens,lock,luggage_drop_off,parking,pool,private_entrance,shampoo,tv,washer,wifi,workspace,property_type,property_design,lat,lng,area_id,area_name
UN0348,1645186.2639285715,7,PR0160,1,1,1,2,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,4,0,-8.6509795,115.1367864,A0003,Canggu
UN0349,1183814.856575011,11,PR0160,1,1,1,2,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,4,0,-8.6509795,115.1367864,A0003,Canggu
UN0351,4755535.621495379,7,PR0160,1,1,1,2,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,4,0,-8.6509795,115.1367864,A0003,Canggu
UN0354,1525564.1385714284,7,PR0160,1,1,1,2,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,4,0,-8.6509795,115.1367864,A0003,Canggu
UN0366,1185775.6601628945,228,PR0282,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,4,0,-8.8063269,115.11306,A0008,Bingin
UN0367,1157959.289857223,212,PR0282,1,1,1,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,4,0,-8.8063269,115.11306,A0008,Bingin
UN0368,1141745.6273206067,198,PR0282,1,1,1,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,4,0,-8.8063269,115.11306,A0008,Bingin
UN0370,1168793.298489569,105,PR0282,1,1,1,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,4,0,-8.8063269,115.11306,A0008,Bingin
UN0371,1286461.433956349,42,PR0282,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,4,0,-8.8063269,115.11306,A0008,Bingin
UN0372,1137974.7202740654,186,PR0282,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,4,0,-8.8063269,115.11306,A0008,Bingin
UN0373,1140858.4993602608,168,PR0282,1,1,1,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,4,0,-8.8063269,115.11306,A0008,Bingin
UN0374,1126543.5462970934,178,PR0282,1,1,1,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,4,0,-8.8063269,115.11306,A0008,Bingin
UN0375,1237920.927995169,138,PR0282,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,4,0,-8.8063269,115.11306,A0008,Bingin
UN0376,987111.1538897877,76,PR0282,1,1,1,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,4,0,-8.8063269,115.11306,A0008,Bingin
UN0382,846477.8082483019,307,PR0188,1,1,1,2,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,4,3,-8.8284397,115.0879669,A0002,Uluwatu
UN0383,704832.703484432,136,PR0188,1,1,1,2,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,4,3,-8.8284397,115.0879669,A0002,Uluwatu
UN0384,961182.664194033,228,PR0188,1,1,1,2,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,4,3,-8.8284397,115.0879669,A0002,Uluwatu
UN0385,986541.3213400323,186,PR0188,1,1,1,2,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,4,3,-8.8284397,115.0879669,A0002,Uluwatu
