room_id,average_baseline_price,number_of_bookings,unit_id,bathroom,bedroom,beds,capacity,unit_type_id,property_id,name,ac,balcony,beachfront,breakfast,building_staff,cable_tv,essentials,garden,gym,hair_dryer,hanger,heating,hot_water,kitchen,linens,lock,luggage_drop_off,parking,pool,private_entrance,shampoo,tv,washer,wifi,workspace,property_design,property_type,lat,lng,distance_to_coastline,property_bedrooms
393205,526531.4810126582,79,UN2192,1,1,1,2,778,PR0345,Bungalow Double,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,4,-8.6788807,115.4900163,,8
393206,843433.9060087719,57,UN2192,1,1,1,2,778,PR0345,Bungalow Double,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,4,-8.6788807,115.4900163,,8
393207,308945.0738347457,236,UN2001,1,1,1,2,1177,PR0371,Standard Double,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,4,-8.709399,115.586846,65.8603,4
393208,1316866.7343402777,192,UN2000,1,1,1,2,1175,PR0371,Standard Twin,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,4,-8.709399,115.586846,65.8603,4
393209,337537.7606418219,207,UN2003,1,1,1,2,1176,PR0371,Superior Double,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,4,-8.709399,115.586846,65.8603,4
393264,289232.952222222,3,UN2000,1,1,1,2,1175,PR0371,Standard Twin,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,4,-8.709399,115.586846,65.8603,4
393265,290058.5,1,UN2002,1,1,1,2,823,PR0371,Superior Twin,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,4,-8.709399,115.586846,65.8603,4
394908,762403.5755068928,338,UN1537,3,1,1,2,119,PR0120,Standard,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,4,-8.805646,115.113378,15.6035,7
394910,511062.6212006079,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394911,635734.1503195587,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394912,1173431.9705284552,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394913,1274882.4974591585,278,UN0370,1,1,1,2,1214,PR0282,Downstairs Non Hot Water,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,4,-8.8063269,115.11306,48.2584,13
394914,1325330.5681550424,315,UN0375,1,1,1,2,206,PR0282,Upstairs Hot Water,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,4,-8.8063269,115.11306,48.2584,13
394915,1611156.9466666665,10,UN0366,1,1,1,2,205,PR0282,Downstairs Hot Water,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,4,-8.8063269,115.11306,48.2584,13
394916,826971.0884292931,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395240,2375476.455833333,24,UN2659,1,1,1,,1047,PR0630,Room,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,-8.6766739,115.5145451,38.5799,6
395715,713838.1671070595,286,UN2124,1,1,1,2,868,PR0398,Room,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,4,-8.688812,115.488442,596.384,4
